identity_id,platform,platform_username,ou,status,role_or_group,privilege_level,last_login,mfa_enabled,api_key_age_days,department,admin_justified,token_scope
ID0015,AD,joseph.obrien,"OU=Finance,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Finance-Staff|GG-SAP-Users|GG-ReadOnly-FS,standard,2025-11-16,False,,Finance,False,
ID0015,AWS,joseph-obrien,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess,standard,2026-05-24,False,187.0,Finance,False,read_only
ID0015,Okta,joseph.obrien@socgen.com,,active,SAP S4HANA|Workday|Slack|Concur,standard,2026-05-01,True,,Finance,False,
ID0016,AD,joseph.martinez,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Legal-Staff|GG-DLP-Policy,standard,2025-11-26,False,,Legal,False,
ID0016,AWS,joseph-martinez,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2026-02-13,True,28.0,Legal,False,read_only
ID0016,Okta,joseph.martinez@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2026-03-15,False,,Legal,False,
ID0017,AD,taylor.heath,"OU=Finance,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Finance-Staff|GG-SAP-Users|GG-ReadOnly-FS,standard,2026-04-10,False,,Finance,False,
ID0017,AWS,taylor-heath,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess,standard,2026-02-13,True,119.0,Finance,False,read_only
ID0017,Okta,taylor.heath@socgen.com,,active,SAP S4HANA|Workday|Slack|Concur,standard,2025-11-06,True,,Finance,False,
ID0018,AD,dana.kennedy,"OU=HR,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-HR-Staff|GG-HRIS-Access,standard,2026-05-26,True,,HR,False,
ID0018,AWS,dana-kennedy,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-04-12,True,193.0,HR,False,read_only
ID0018,Okta,dana.kennedy@socgen.com,,active,Workday|Slack|ServiceNow|BambooHR,standard,2026-03-27,False,,HR,False,
ID0019,AD,victoria.garcia,"OU=Engineering,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Dev-Staff|GG-Git-Users|GG-VPN-Access,standard,2025-10-15,False,,Engineering,False,
ID0019,AWS,victoria-garcia,,active,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,standard,2025-03-15,True,103.0,Engineering,False,read_only
ID0019,Okta,victoria.garcia@socgen.com,,active,GitHub Enterprise|AWS SSO|Jira|Slack|Confluence,standard,2026-03-28,False,,Engineering,False,
ID0020,AD,javier.ramirez,"OU=IT,OU=Privileged,DC=corp,DC=socgen,DC=com",disabled,GG-IT-Staff|GG-Infra-Ops|GG-ServiceDesk,standard,2025-10-31,False,,IT,True,
ID0020,AWS,javier-ramirez,,active,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,standard,2025-05-15,False,188.0,IT,True,read_only
ID0020,Okta,javier.ramirez@socgen.com,,active,AWS SSO|GitHub Enterprise|ServiceNow|Slack|CyberArk|Okta Admin Console,admin,,True,,IT,True,
ID0021,AD,tammy.allison,"OU=HR,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-HR-Staff|GG-HRIS-Access,standard,2026-03-15,False,,HR,False,
ID0021,AWS,tammy-allison,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-08-28,False,15.0,HR,False,read_only
ID0021,Okta,tammy.allison@socgen.com,,active,Workday|Slack|ServiceNow|BambooHR,standard,2025-09-16,True,,HR,False,
ID0022,AD,mrs..gibson,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Legal-Staff|GG-DLP-Policy|GG-Domain-Admins,admin,2025-10-27,False,,Legal,False,
ID0022,AWS,mrs.-gibson,,active,arn:aws:iam::aws:policy/AdministratorAccess,admin,2025-10-27,False,854.0,Legal,False,admin
ID0022,Okta,mrs..gibson@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2025-10-27,True,,Legal,False,
ID0023,AD,lauren.daniels,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Legal-Staff|GG-DLP-Policy,standard,2025-10-03,True,,Legal,False,
ID0023,AWS,lauren-daniels,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-08-20,True,18.0,Legal,False,read_only
ID0023,Okta,lauren.daniels@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2026-02-20,False,,Legal,False,
ID0024,AD,cody.larson,"OU=HR,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-HR-Staff|GG-HRIS-Access,standard,2026-04-20,True,,HR,False,
ID0024,AWS,cody-larson,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-08-07,True,11.0,HR,False,read_only
ID0024,Okta,cody.larson@socgen.com,,active,Workday|Slack|ServiceNow|BambooHR,standard,2025-11-18,True,,HR,False,
ID0025,AD,krystal.stewart,"OU=Engineering,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Dev-Staff|GG-Git-Users|GG-VPN-Access,standard,2026-02-07,True,,Engineering,False,
ID0025,AWS,krystal-stewart,,active,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,standard,2026-02-18,True,81.0,Engineering,False,read_only
ID0025,Okta,krystal.stewart@socgen.com,,active,GitHub Enterprise|AWS SSO|Jira|Slack|Confluence,standard,2025-11-30,True,,Engineering,False,
ID0026,AD,timothy.walls,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Legal-Staff|GG-DLP-Policy,standard,2025-07-12,False,,Legal,False,
ID0026,AWS,timothy-walls,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-02-26,True,193.0,Legal,False,read_only
ID0026,Okta,timothy.walls@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2026-06-16,False,,Legal,False,
ID0027,AD,timothy.ibarra,"OU=Sales,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Sales-Staff|GG-CRM-Access,standard,2025-08-06,True,,Sales,False,
ID0027,AWS,timothy-ibarra,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-10-04,True,584.0,Sales,False,read_only
ID0027,Okta,timothy.ibarra@socgen.com,,active,Salesforce|Slack|Zoom|HubSpot,standard,2026-04-14,True,,Sales,False,
ID0028,AD,robert.evans,"OU=Engineering,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Dev-Staff|GG-Git-Users|GG-VPN-Access,standard,2026-05-16,True,,Engineering,False,
ID0028,AWS,robert-evans,,active,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,standard,2025-11-08,False,41.0,Engineering,False,read_only
ID0028,Okta,robert.evans@socgen.com,,active,GitHub Enterprise|AWS SSO|Jira|Slack|Confluence,standard,2026-01-17,True,,Engineering,False,
ID0029,AD,douglas.clark,"OU=Sales,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Sales-Staff|GG-CRM-Access,standard,2025-07-14,False,,Sales,False,
ID0029,AWS,douglas-clark,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-02-25,True,27.0,Sales,False,read_only
ID0029,Okta,douglas.clark@socgen.com,,active,Salesforce|Slack|Zoom|HubSpot,standard,2026-02-05,True,,Sales,False,
ID0030,AD,jeff.hill,"OU=HR,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-HR-Staff|GG-HRIS-Access,standard,2026-04-27,True,,HR,False,
ID0030,AWS,jeff-hill,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2026-03-05,False,155.0,HR,False,read_only
ID0030,Okta,jeff.hill@socgen.com,,active,Workday|Slack|ServiceNow|BambooHR,standard,2025-12-27,True,,HR,False,
ID0031,AD,ashley.landry,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Legal-Staff|GG-DLP-Policy,standard,2025-07-04,False,,Legal,False,
ID0031,AWS,ashley-landry,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-03-14,True,65.0,Legal,False,read_only
ID0031,Okta,ashley.landry@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2026-05-04,False,,Legal,False,
ID0032,AD,rebecca.valencia,"OU=Sales,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Sales-Staff|GG-CRM-Access,standard,2026-01-30,True,,Sales,False,
ID0032,AWS,rebecca-valencia,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-07-29,True,499.0,Sales,False,read_only
ID0032,Okta,rebecca.valencia@socgen.com,,active,Salesforce|Slack|Zoom|HubSpot,standard,2026-03-30,False,,Sales,False,
ID0033,AD,nicole.frost,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Legal-Staff|GG-DLP-Policy,standard,2025-09-11,False,,Legal,False,
ID0033,AWS,nicole-frost,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2026-05-13,False,29.0,Legal,False,read_only
ID0033,Okta,nicole.frost@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2026-04-05,True,,Legal,False,
ID0034,AD,evelyn.galvan,"OU=Sales,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Sales-Staff|GG-CRM-Access|GG-Domain-Admins,admin,2025-12-10,True,,Sales,False,
ID0034,AWS,evelyn-galvan,,active,arn:aws:iam::aws:policy/AdministratorAccess,admin,2025-12-10,True,11.0,Sales,False,admin
ID0034,Okta,evelyn.galvan@socgen.com,,active,Salesforce|Slack|Zoom|HubSpot,standard,2025-12-10,True,,Sales,False,
ID0035,AD,robert.stevens,"OU=IT,OU=Privileged,DC=corp,DC=socgen,DC=com",disabled,GG-IT-Staff|GG-Infra-Ops|GG-ServiceDesk,standard,2025-05-17,False,,IT,True,
ID0035,AWS,robert-stevens,,inactive,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,standard,2026-04-02,True,192.0,IT,True,read_only
ID0035,Okta,robert.stevens@socgen.com,,active,AWS SSO|GitHub Enterprise|ServiceNow|Slack|CyberArk|Okta Admin Console,admin,2026-03-29,True,,IT,True,
ID0036,AD,benjamin.ayala,"OU=HR,OU=Users,DC=corp,DC=socgen,DC=com",disabled,GG-HR-Staff|GG-HRIS-Access,standard,2026-01-01,False,,HR,False,
ID0036,AWS,benjamin-ayala,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-05-01,True,189.0,HR,False,read_only
ID0036,Okta,benjamin.ayala@socgen.com,,active,Workday|Slack|ServiceNow|BambooHR,standard,,True,,HR,False,
ID0037,AD,victor.baker,"OU=Engineering,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Dev-Staff|GG-Git-Users|GG-VPN-Access,standard,2025-06-26,True,,Engineering,False,
ID0037,AWS,victor-baker,,active,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,standard,2025-04-07,True,10.0,Engineering,False,read_only
ID0037,Okta,victor.baker@socgen.com,,active,GitHub Enterprise|AWS SSO|Jira|Slack|Confluence,standard,2026-02-27,True,,Engineering,False,
ID0038,AD,kenneth.scott,"OU=Sales,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Sales-Staff|GG-CRM-Access,standard,2025-10-28,False,,Sales,False,
ID0038,AWS,kenneth-scott,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2026-02-26,True,59.0,Sales,False,read_only
ID0038,Okta,kenneth.scott@socgen.com,,active,Salesforce|Slack|Zoom|HubSpot,standard,2026-03-14,False,,Sales,False,
ID0039,AD,benjamin.beck,"OU=Sales,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Sales-Staff|GG-CRM-Access,standard,2026-01-03,False,,Sales,False,
ID0039,AWS,benjamin-beck,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2026-01-29,True,198.0,Sales,False,read_only
ID0039,Okta,benjamin.beck@socgen.com,,active,Salesforce|Slack|Zoom|HubSpot,standard,2025-10-03,False,,Sales,False,
ID0040,AD,cheryl.ortega,"OU=IT,OU=Privileged,DC=corp,DC=socgen,DC=com",active,GG-IT-Staff|GG-Infra-Ops|GG-ServiceDesk,standard,2025-07-08,False,,IT,False,
ID0040,AWS,cheryl-ortega,,active,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,standard,2025-03-28,True,30.0,IT,False,read_only
ID0040,Okta,cheryl.ortega@socgen.com,,active,AWS SSO|GitHub Enterprise|ServiceNow|Slack|CyberArk,standard,2026-03-21,True,,IT,False,
ID0041,AD,jeffrey.carpenter,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Legal-Staff|GG-DLP-Policy|GG-Domain-Admins,admin,2026-06-01,True,,Legal,False,
ID0041,AWS,jeffrey-carpenter,,active,arn:aws:iam::aws:policy/AdministratorAccess,admin,2025-06-12,True,89.0,Legal,False,admin
ID0041,Okta,jeffrey.carpenter@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2025-11-09,True,,Legal,False,
ID0042,AD,diane.beck,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Legal-Staff|GG-DLP-Policy,elevated,2025-12-05,True,,Legal,False,
ID0042,AWS,diane-beck,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-11-09,True,182.0,Legal,False,read_only
ID0042,Okta,diane.beck@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2025-09-27,True,,Legal,False,
ID0043,AD,william.carr,"OU=IT,OU=Privileged,DC=corp,DC=socgen,DC=com",active,GG-IT-Staff|GG-Infra-Ops|GG-ServiceDesk|GG-Domain-Admins,admin,2025-12-16,False,,IT,True,
ID0043,AWS,william-carr,,active,arn:aws:iam::aws:policy/AdministratorAccess,admin,2025-08-05,True,704.0,IT,True,admin
ID0043,Okta,william.carr@socgen.com,,active,AWS SSO|GitHub Enterprise|ServiceNow|Slack|CyberArk|Okta Admin Console,admin,2026-04-18,True,,IT,True,
ID0044,AD,michael.stafford,"OU=Sales,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Sales-Staff|GG-CRM-Access,standard,2025-10-04,False,,Sales,False,
ID0044,AWS,michael-stafford,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-11-26,False,84.0,Sales,False,read_only
ID0044,Okta,michael.stafford@socgen.com,,active,Salesforce|Slack|Zoom|HubSpot,standard,2026-01-20,True,,Sales,False,
ID0045,AD,robert.contreras,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",disabled,GG-Legal-Staff|GG-DLP-Policy,standard,2025-06-02,True,,Legal,False,
ID0045,AWS,robert-contreras,,inactive,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-11-25,False,78.0,Legal,False,read_only
ID0045,Okta,robert.contreras@socgen.com,,suspended,SharePoint|Slack|DocuSign|Relativity,standard,,True,,Legal,False,
ID0046,AD,natasha.wells,"OU=HR,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-HR-Staff|GG-HRIS-Access|GG-Domain-Admins,admin,2026-01-25,True,,HR,False,
ID0046,AWS,natasha-wells,,active,arn:aws:iam::aws:policy/AdministratorAccess,admin,2025-08-14,False,149.0,HR,False,admin
ID0046,Okta,natasha.wells@socgen.com,,active,Workday|Slack|ServiceNow|BambooHR,standard,2026-01-07,False,,HR,False,
ID0047,AD,cynthia.rogers,"OU=IT,OU=Privileged,DC=corp,DC=socgen,DC=com",active,GG-IT-Staff|GG-Infra-Ops|GG-ServiceDesk|GG-Domain-Admins,admin,2025-11-06,False,,IT,True,
ID0047,AWS,cynthia-rogers,,active,arn:aws:iam::aws:policy/AdministratorAccess,admin,2025-10-21,False,131.0,IT,True,admin
ID0047,Okta,cynthia.rogers@socgen.com,,active,AWS SSO|GitHub Enterprise|ServiceNow|Slack|CyberArk|Okta Admin Console,admin,2026-03-26,True,,IT,True,
ID0048,AD,jennifer.clark,"OU=Sales,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Sales-Staff|GG-CRM-Access,standard,2026-01-26,False,,Sales,False,
ID0048,AWS,jennifer-clark,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-07-11,True,606.0,Sales,False,read_only
ID0048,Okta,jennifer.clark@socgen.com,,active,Salesforce|Slack|Zoom|HubSpot,standard,2026-02-25,True,,Sales,False,
ID0049,AD,aaron.bell,"OU=IT,OU=Privileged,DC=corp,DC=socgen,DC=com",disabled,GG-IT-Staff|GG-Infra-Ops|GG-ServiceDesk,standard,2025-08-12,True,,IT,True,
ID0049,AWS,aaron-bell,,active,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,standard,2025-08-30,True,162.0,IT,True,read_only
ID0049,Okta,aaron.bell@socgen.com,,active,AWS SSO|GitHub Enterprise|ServiceNow|Slack|CyberArk|Okta Admin Console,admin,,False,,IT,True,
ID0050,AD,don.md,"OU=IT,OU=Privileged,DC=corp,DC=socgen,DC=com",active,GG-IT-Staff|GG-Infra-Ops|GG-ServiceDesk|GG-Domain-Admins,admin,2026-02-06,True,,IT,True,
ID0050,AWS,don-md,,active,arn:aws:iam::aws:policy/AdministratorAccess,admin,2026-02-06,True,177.0,IT,True,admin
ID0050,Okta,don.md@socgen.com,,active,AWS SSO|GitHub Enterprise|ServiceNow|Slack|CyberArk|Okta Admin Console,admin,2026-02-06,True,,IT,True,
ID0051,AD,leslie.alvarado,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Legal-Staff|GG-DLP-Policy,standard,2026-03-22,False,,Legal,False,
ID0051,AWS,leslie-alvarado,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-03-08,True,621.0,Legal,False,read_only
ID0051,Okta,leslie.alvarado@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2025-10-30,True,,Legal,False,
ID0052,AD,gabriel.juarez,"OU=Legal,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Legal-Staff|GG-DLP-Policy,standard,2025-10-26,False,,Legal,False,
ID0052,AWS,gabriel-juarez,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-08-11,False,114.0,Legal,False,read_only
ID0052,Okta,gabriel.juarez@socgen.com,,active,SharePoint|Slack|DocuSign|Relativity,standard,2025-10-05,False,,Legal,False,
ID0053,AD,trevor.walker,"OU=Finance,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-Finance-Staff|GG-SAP-Users|GG-ReadOnly-FS|GG-Domain-Admins,admin,2025-09-13,False,,Finance,False,
ID0053,AWS,trevor-walker,,active,arn:aws:iam::aws:policy/AdministratorAccess,admin,2025-04-05,True,191.0,Finance,False,admin
ID0053,Okta,trevor.walker@socgen.com,,active,SAP S4HANA|Workday|Slack|Concur,standard,2025-11-02,True,,Finance,False,
ID0054,AD,cynthia.wells,"OU=HR,OU=Users,DC=corp,DC=socgen,DC=com",active,GG-HR-Staff|GG-HRIS-Access,standard,2025-06-01,True,,HR,False,
ID0054,AWS,cynthia-wells,,active,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,standard,2025-05-24,False,71.0,HR,False,read_only
ID0054,Okta,cynthia.wells@socgen.com,,active,Workday|Slack|ServiceNow|BambooHR,standard,2025-10-15,True,,HR,False,
ID0055,AD,carla.collins,"OU=IT,OU=Privileged,DC=corp,DC=socgen,DC=com",disabled,GG-IT-Staff|GG-Infra-Ops|GG-ServiceDesk,standard,2026-02-01,False,,IT,False,
