identity_id,name,email,type,department,hire_date,termination_date,is_terminated,last_role_change_date,manager
ID0085,Thomas Smith,robertpena@jones.com,employee,Finance,2021-02-27,,False,,
ID0086,Jennifer Miller,melissa86@sims-clay.info,employee,Engineering,2021-12-19,,False,2022-07-18,
ID0087,Amanda Jones,wendy16@hodges.com,employee,HR,2019-09-13,,False,,
ID0088,Michael Berger,nguyenbrian@brooks-thomas.net,employee,Sales,2024-03-30,,False,2024-09-13,
ID0089,Michael White,christianpitts@vega.com,employee,Finance,2021-05-10,2023-09-11,True,,
ID0090,David Scott,nolansteven@byrd-moore.info,employee,IT,2018-06-20,,False,,
ID0091,Victoria Evans,dvaughn@gonzalez-cruz.info,employee,HR,2024-03-11,,False,2024-04-20,
ID0092,James Howard,victoria40@foster.com,employee,IT,2023-06-26,,False,,
ID0093,Natasha Wall,kimberly39@robinson-lee.com,employee,HR,2022-07-22,,False,,
ID0094,Michelle Hopkins,courtneyberger@williams.com,employee,Finance,2025-09-18,,False,,
ID0095,Ann Phillips,ithompson@walter.com,employee,HR,2025-03-14,,False,,
ID0096,Dawn Summers,scoffey@harrell.com,employee,Legal,2020-04-07,,False,,
ID0097,Vincent Dalton,zcoffey@diaz.net,employee,Sales,2022-04-07,,False,2023-09-24,
ID0098,Jacob Curry,brenda51@hall.net,employee,Finance,2019-06-20,,False,,
ID0099,Leonard Holland,tblankenship@ortiz.com,employee,Engineering,2019-04-16,,False,,
ID0100,Audrey Young DDS,qchavez@horton.com,employee,HR,2021-01-31,,False,,
ID0101,Mary Bass,rcrosby@vaughn.info,employee,IT,2019-07-07,,False,2024-05-28,
ID0102,David Cox,amy50@hill-donaldson.info,employee,Engineering,2020-02-24,,False,,
ID0103,Daniel Fowler,williamsmatthew@buchanan.com,employee,Legal,2018-06-17,,False,,
ID0104,Kristen Willis,markhernandez@smith.com,employee,Legal,2022-04-11,,False,,
ID0105,Rebecca Rodriguez,andersonmichael@chapman.com,employee,Engineering,2022-08-11,,False,,
ID0106,Cameron Fisher,reesethomas@palmer-rodriguez.net,employee,HR,2021-06-19,,False,,
ID0107,Luis Acosta,stephen00@boone-simmons.com,employee,Finance,2021-04-06,,False,,
ID0108,Theodore Jones Jr.,cameronhill@richards.org,employee,Legal,2024-01-11,,False,,
ID0109,Jody Jacobs,mcguiredanny@curtis.com,employee,Sales,2025-12-22,,False,2026-05-20,
ID0110,Stephen Gutierrez,uross@edwards.com,employee,Sales,2018-08-21,,False,,
ID0111,Christian Leblanc,davischristopher@davis-rodgers.com,employee,Legal,2023-08-01,,False,,
ID0112,Laurie Hoffman,elizabeth65@pugh.com,employee,Legal,2024-01-28,,False,,
ID0113,Lindsay Bell,ericolson@bell.com,employee,Legal,2018-11-18,,False,2021-07-08,
ID0114,Donald Perez,xbruce@austin.com,employee,Legal,2022-07-01,,False,2022-08-21,
ID0115,Donald Farmer,michael22@sandoval.com,employee,Engineering,2023-03-27,,False,,
ID0116,Joseph Bennett,xpeterson@griffith-frank.org,employee,Engineering,2020-11-14,,False,,
ID0117,Sophia Moore,craigjoseph@coleman.com,employee,Finance,2021-09-03,,False,2025-05-09,
ID0118,Ashley Jordan,erika97@estrada.org,employee,Legal,2025-12-01,,False,,
ID0119,Dan Dougherty,kathrynroberts@smith.biz,employee,Engineering,2021-03-18,,False,,
ID0120,James Padilla,charles06@stevens.com,employee,Legal,2020-03-03,,False,,
ID0121,Laura Mckinney,zroberts@burch.org,employee,Engineering,2020-11-10,,False,,
ID0122,Michael Cox,prichard@chapman-warren.biz,employee,Sales,2019-09-17,,False,,
ID0123,Nichole Walker,charlesschultz@hicks.com,employee,IT,2019-02-09,,False,,
ID0124,Charles Gonzalez,kathleenrios@bean.info,employee,IT,2019-11-01,,False,2025-02-27,
ID0125,Justin Riley,michelle52@jones-ramos.com,employee,IT,2023-01-27,,False,,
ID0126,Leslie Bell,collinsshannon@wood.com,employee,HR,2020-02-18,,False,2025-01-24,
ID0127,Vanessa Davis,jford@huang.com,employee,Engineering,2022-10-10,,False,,
ID0128,John Hernandez,hayeslisa@haas-miller.com,employee,Sales,2025-01-27,,False,2026-01-18,
ID0129,Michael Ritter,michaelhardin@ortiz-morgan.org,employee,Finance,2023-07-31,2024-12-29,True,,
ID0130,Mark Cook,cody64@cummings-douglas.org,employee,IT,2021-04-25,2023-12-03,True,,
ID0131,Felicia Aguilar,sabrinacollins@hale.com,employee,Sales,2025-10-04,,False,,
ID0132,James Conner,elizabethcalderon@osborn.biz,employee,IT,2020-08-18,2021-11-21,True,,
ID0133,Alicia Parker,matthewmiranda@perez.com,employee,IT,2021-04-12,,False,,
ID0134,Ryan Garcia,stanleynancy@anderson.org,employee,Sales,2023-07-04,,False,,
ID0135,Carol Kim,udiaz@montes.com,employee,IT,2025-08-27,,False,,
ID0136,Rachel Young,kylestokes@mckee-lee.org,employee,IT,2024-02-16,,False,,
ID0137,Mrs. Diane Reyes,mburch@taylor.com,employee,Sales,2019-12-28,2021-05-14,True,,
ID0138,Ashley Singleton,mitchellkathryn@cole-palmer.biz,employee,Legal,2025-09-03,2027-02-23,True,2026-12-20,
ID0139,Thomas Velasquez,sarah60@shaw-young.com,employee,Finance,2025-06-01,,False,,
ID0140,Alfred Galvan,lacey20@lowery-kennedy.com,employee,IT,2022-04-25,,False,,
ID0141,Julie Gilbert,smithjason@dunn.org,employee,HR,2021-04-02,,False,2021-05-12,
ID0142,Ashley Roberts,david36@bauer.info,employee,Legal,2019-12-06,2021-03-08,True,2020-01-11,
ID0143,Alexis Robertson,jennifercarter@mendez.org,employee,Legal,2025-07-12,,False,,
ID0144,Matthew Miller,carlos88@hartman.info,employee,Finance,2025-10-01,,False,2026-06-01,
ID0145,James Brooks,kellycarlos@quinn.com,employee,Legal,2024-09-11,,False,2025-06-01,
ID0146,Nancy Cook,bellmatthew@thompson.info,employee,HR,2024-02-05,,False,,
ID0147,Robin Brown,mjohnson@moody.com,employee,Legal,2024-09-10,,False,2025-07-26,
ID0148,Kaylee Hays,wking@lee.com,employee,Engineering,2019-06-28,2020-08-20,True,,
ID0149,Robert Kim,ypaul@beltran-crawford.info,employee,IT,2021-07-13,,False,2024-11-07,
ID0150,Robert Adams,acostachristian@carney.com,employee,Legal,2018-12-11,,False,,
ID0151,Matthew Parker,cjackson@west-acosta.com,employee,HR,2018-04-22,,False,2024-08-27,
ID0152,Jessica Fowler,jonesdana@palmer-brady.com,employee,Engineering,2022-01-31,,False,,
ID0153,Brenda Lawson,ejohnson@osborne.com,employee,Engineering,2020-04-21,,False,2025-01-06,
ID0154,Keith Jacobs,xrush@hines-berry.net,employee,IT,2024-10-17,,False,,
ID0155,Ernest Ramirez,johnsonjacob@hughes.com,employee,IT,2024-04-06,,False,,
ID0156,Cindy Carr,igonzalez@hayes.info,employee,Legal,2022-12-13,,False,,
ID0157,Rita Ponce DVM,jenna88@vance-york.com,employee,IT,2020-10-06,,False,,
ID0158,Katie Martinez,laurayoung@johnson-spencer.com,employee,HR,2022-05-13,,False,,
ID0159,William Anderson,jonesraymond@higgins.org,employee,Engineering,2022-11-07,,False,2025-06-16,
ID0160,William Day,howens@anderson-calderon.net,employee,Sales,2019-02-19,,False,,
ID0161,Catherine Burch,dshaw@holmes.com,employee,IT,2022-05-02,,False,2023-10-14,
ID0162,Timothy Perez,meghan43@huber.org,employee,HR,2022-11-04,,False,,
ID0163,Kathryn Jackson,georgeweber@morgan.com,employee,HR,2019-09-30,2020-07-21,True,2020-04-26,
ID0164,Travis Wise,debra96@fowler.com,employee,IT,2019-10-02,,False,,
ID0165,Elizabeth Sanchez,eevans@brown.com,employee,Legal,2020-06-22,,False,2023-10-11,
ID0166,Charles Hensley,jessica56@hodges.net,employee,Finance,2021-06-11,,False,,
ID0167,David Martinez,gwright@roberts.org,employee,Sales,2021-11-03,,False,,
ID0168,Victor Barrera,sarah53@jimenez.info,employee,IT,2019-10-22,,False,,
ID0169,Mr. Alexander Landry MD,jasongomez@campbell.info,employee,HR,2022-07-17,,False,2023-08-16,
ID0170,Adam Rodriguez,nicoleluna@diaz-morales.org,employee,HR,2024-08-21,,False,,
ID0171,Heidi Roberts,wgordon@ramirez.com,employee,Legal,2023-11-26,,False,,
ID0172,Brent Brooks,angela52@morrison.net,employee,HR,2019-05-15,,False,,
ID0173,Andrew Reeves,jstone@barry.com,employee,HR,2024-11-07,,False,,
ID0174,William Stevenson,brittney88@burns.com,employee,HR,2023-12-20,,False,,
ID0175,Michael Whitney,laura09@baker-rios.org,employee,Finance,2022-11-26,2023-04-30,True,,
ID0176,Mikayla Silva,alexandriagriffith@hernandez-becker.com,employee,Legal,2024-07-24,,False,,
ID0177,Melody Lee,jedwards@vaughn-jenkins.org,employee,Engineering,2025-11-03,,False,,
ID0178,Shelley Fitzgerald,thorntonapril@nguyen.com,employee,IT,2022-02-27,,False,2024-11-02,
ID0179,Julia Patel,erica49@lee-wright.net,employee,Engineering,2025-03-31,,False,2026-02-17,
ID0180,Todd Hendrix,janet75@bailey-peck.com,employee,Legal,2025-05-18,,False,,
ID0181,Kenneth Daniels,xcardenas@roberts.com,employee,HR,2025-01-09,,False,2026-03-12,
ID0182,Jeremy Scott,ilewis@fitzpatrick-horton.com,employee,Sales,2019-04-18,,False,2025-02-26,
ID0183,Patrick Allen,santiagoamanda@hall.info,employee,IT,2020-12-04,,False,,
ID0184,Randy Smith,richarddonovan@woods-gonzalez.com,employee,Sales,2021-03-03,,False,,
ID0185,Matthew Velez,pearsonjesse@sharp.com,employee,Sales,2024-11-12,,False,2025-06-17,
ID0186,Ryan Peck,osbornrandy@lopez-curry.com,employee,HR,2018-07-28,2019-07-08,True,2018-09-05,
ID0187,Alexandra Bradley,hebertmatthew@hays-daniels.info,employee,Finance,2025-12-13,,False,,
ID0188,Brandi Gordon,james15@simon.com,employee,IT,2022-09-18,2023-10-18,True,,
ID0189,Alexis Rogers,ashley32@chase.net,employee,Legal,2020-11-20,2021-10-25,True,,
ID0190,James Davis,thomasboyle@green.info,employee,Legal,2019-05-14,,False,,
ID0191,Tiffany Turner,greenmichael@brown.info,employee,IT,2024-09-09,,False,,
ID0192,Jared Shaw,hannah45@walker.info,employee,HR,2024-05-20,2025-02-13,True,,
ID0193,Lisa Perry,ztodd@petersen.org,employee,Sales,2019-08-06,,False,,
ID0194,Angela Griffin,christian91@poole.com,employee,IT,2018-04-04,,False,,
ID0195,Brittany Murphy,nwilson@aguilar.com,employee,HR,2020-05-14,,False,,
ID0196,Jose Bryant,hansenemily@cummings-foster.com,employee,Sales,2025-07-13,,False,,
ID0197,Laura Williams,isabella80@andersen.com,employee,Sales,2023-03-04,2024-02-01,True,,
ID0198,Christopher Taylor,ybrooks@kane-knox.biz,employee,Sales,2019-05-25,,False,,
ID0199,Victor Baxter,desireebailey@haney.net,employee,Legal,2022-12-16,,False,,
ID0200,William Davenport,goodsteven@stephens.com,employee,Finance,2020-09-13,,False,,
ID0201,Christopher Lopez,johnsondonna@miranda.com,employee,HR,2023-12-11,,False,,
ID0202,Kirk Griffin,sanchezbradley@young-robinson.com,employee,IT,2024-12-15,,False,,
ID0203,Wyatt Young,barbara53@walter-odom.net,employee,HR,2018-06-19,2019-03-10,True,,
ID0204,Eric Brown,conniesimmons@williams-cooper.biz,employee,Legal,2020-06-03,,False,,
ID0205,Emma Butler,kevinwhite@wells.com,employee,Sales,2025-07-26,,False,,
ID0206,Suzanne Hart,igrant@sanchez-harris.com,employee,HR,2024-09-05,,False,,
ID0207,Sarah Davis,brettbennett@morrison.org,employee,Sales,2025-12-19,,False,,
ID0208,Kristin Mendoza,kevin03@hayden.info,employee,IT,2025-05-15,,False,,
ID0209,Melissa Padilla,jherman@rowe-james.net,employee,IT,2018-12-19,,False,2021-12-17,
ID0210,Elizabeth Ward,zowens@harrison.com,employee,Sales,2024-07-05,,False,,
ID0211,Angel Shields,allentran@riley.com,employee,Legal,2020-07-17,,False,,
ID0212,Kelly Sanchez,jonathan77@jackson-norton.com,employee,Sales,2023-04-18,,False,,
ID0213,Joshua White,warrenmary@landry.com,employee,Engineering,2019-10-14,,False,2021-01-21,
ID0214,Jennifer Kirby,carloshernandez@wagner.com,employee,IT,2024-08-29,,False,2025-06-24,
ID0215,Mary Jensen,bhopkins@patel.com,employee,Sales,2022-11-30,,False,,
ID0216,Nathan Nichols,andre62@hull.com,employee,IT,2023-03-31,,False,2024-04-25,
ID0217,Manuel King,joseph61@chung-stevens.com,employee,Sales,2020-04-12,,False,2021-01-23,
ID0218,Courtney Sutton DVM,davisnicholas@alvarez.com,employee,HR,2021-04-29,,False,,
ID0219,Mr. Richard Knight PhD,jacobsonsamantha@lewis.org,employee,HR,2025-12-13,,False,,
ID0220,Anthony Jones,rachel90@mcfarland.com,employee,Sales,2019-06-23,,False,,
ID0221,Laurie Goodwin,thickman@elliott.biz,employee,Finance,2020-12-20,,False,,
ID0222,Kimberly Reyes,krystalnorris@mason.com,employee,Sales,2019-11-20,,False,,
ID0223,David Jones,unovak@walters.info,employee,Finance,2023-04-20,,False,2025-08-09,
ID0224,Juan Bennett,eringuerrero@barton.com,employee,Engineering,2022-05-30,,False,,
ID0225,Angela Moore,jodistewart@davis.info,employee,IT,2021-08-25,,False,,
ID0226,Derrick Anderson,ryanhawkins@russell.com,employee,Legal,2024-04-09,,False,2025-09-06,
ID0227,Rachel Shields,carterpaul@hardy.com,employee,Sales,2022-04-04,,False,,
ID0228,Carolyn James,josephadams@brown.com,employee,IT,2024-11-10,,False,,
ID0229,John Jones,sheryl79@gonzalez.biz,employee,Legal,2024-05-12,,False,,
ID0230,Manuel Brock,scott69@evans.com,employee,Finance,2025-02-20,,False,,
ID0231,Christopher Sanders,kelly79@nguyen.biz,employee,HR,2018-12-28,,False,,
ID0232,Timothy Gonzalez,erinpierce@murray.com,employee,HR,2018-06-01,,False,,
ID0233,Andrea Abbott,ichambers@turner.biz,employee,HR,2018-12-13,,False,,
ID0234,Angela Ewing,iaguilar@mclean.com,employee,Sales,2025-07-29,,False,2025-12-24,
ID0235,Heather Woodard,rodriguezjohn@kelly.biz,employee,Finance,2024-12-18,,False,2025-03-31,
ID0236,Erin Hogan,smithjonathan@burgess.com,employee,IT,2024-02-11,,False,,
ID0237,James Barton,michaeljohnson@phillips.com,employee,Engineering,2022-05-05,,False,,
ID0238,Monica Bailey,stanley38@bailey-davis.info,employee,HR,2021-02-23,,False,,
ID0239,Eric Patrick,johnsonmatthew@byrd.com,employee,Sales,2018-05-02,,False,2019-03-22,
ID0240,Kristen Rivera,omullen@soto-lopez.biz,employee,Sales,2021-09-09,,False,2024-12-17,
ID0241,Omar Ware,yvargas@bush.com,employee,Finance,2023-05-17,,False,,
ID0242,Rhonda Brown,lloydamanda@nguyen-ellis.com,employee,HR,2018-07-02,2021-01-10,True,,
ID0243,Katherine Church,candice96@wilson.com,employee,HR,2018-05-19,,False,2022-04-04,
ID0244,Michele Evans,powerslawrence@torres.com,employee,Sales,2022-08-16,,False,,
ID0245,Kayla Barnes,baileyhenderson@reid-steele.com,employee,HR,2020-11-08,,False,2025-03-03,
ID0246,Katherine Taylor,megan90@crane-washington.com,employee,IT,2024-10-13,,False,,
ID0247,Tracey Wagner,fortiz@mckinney-wallace.com,employee,Sales,2022-08-30,,False,,
ID0248,Andre Juarez,antonio38@jackson-ellis.info,employee,Legal,2021-07-16,,False,,
ID0249,Ashley Wilson,amber07@robinson.com,employee,Legal,2025-06-06,,False,,
ID0250,Zachary Cole,michelle17@rowe.com,employee,HR,2023-05-26,,False,,
ID0251,Leah Bell,imartin@li.org,employee,Legal,2023-11-06,,False,,
ID0252,Douglas Ryan,tiffany44@adams.com,employee,Legal,2018-08-02,,False,2019-09-04,
ID0253,Paul Jenkins,riddlemichelle@miles.com,employee,Legal,2018-09-24,2021-03-19,True,,
ID0254,Frank Wright,kburns@adams.com,employee,Sales,2021-11-20,,False,2023-07-18,
ID0255,Paul Neal,shawn75@smith.info,employee,HR,2021-04-27,,False,2024-05-06,
ID0256,Melissa Horn,brobinson@simpson.com,employee,HR,2020-01-10,,False,,
ID0257,Kenneth Knight,rkramer@williams.info,employee,Finance,2023-02-05,,False,,
ID0258,Timothy Moore,bsmith@forbes.com,employee,HR,2022-03-07,,False,,
ID0259,Timothy Hill,john52@sanders.com,employee,Engineering,2024-05-26,,False,2026-04-19,
ID0260,Brandon Davis,thomasanderson@stone.com,employee,Legal,2018-06-01,,False,,
ID0261,Greg Martinez,ebenson@perez.com,employee,Sales,2021-11-16,2023-04-04,True,2022-08-18,
ID0262,Jacob Evans,wayala@may.com,employee,Engineering,2020-11-17,,False,,
ID0263,Justin Bishop,scottbowen@goodman.info,employee,HR,2019-06-04,,False,,
ID0264,Angelica Garcia,lawrencepatrick@edwards-taylor.com,employee,HR,2024-10-06,,False,,
ID0265,Danielle Burke,kimberly04@holmes.com,employee,Sales,2019-09-07,,False,,
ID0266,Elizabeth Brown,troyrodriguez@little-jones.com,employee,Legal,2025-04-09,,False,,
ID0267,Dr. Bonnie Valencia,rdiaz@farmer.com,employee,Legal,2022-08-04,,False,2022-11-05,
ID0268,Alexis Lewis,fryraymond@fuller-mason.biz,employee,Engineering,2022-07-26,,False,2023-11-19,
ID0269,James Davidson,joshuacollins@mccall.com,employee,Sales,2024-06-16,,False,,
ID0270,Mark Davenport,collinssamuel@brown.biz,employee,Legal,2019-12-03,,False,,
ID0271,Logan Brown,davidzimmerman@smith.net,employee,Finance,2021-04-29,,False,,
ID0272,Michelle Jackson,karamarks@tanner.biz,employee,Sales,2021-05-27,,False,,
ID0273,Austin Joseph,crawfordwilliam@porter.com,employee,Legal,2021-10-28,,False,,
ID0274,David Garcia,perezwilliam@trevino.com,employee,Finance,2021-11-29,2024-02-09,True,,
ID0275,Jack Mora,sarahmathews@pratt.com,employee,Legal,2021-12-15,2023-01-01,True,2022-02-16,
ID0276,Jason Cortez,margaret95@shaw.com,employee,IT,2024-12-13,,False,,
ID0277,Jose Williams,djones@ayala-collins.com,employee,Sales,2025-09-27,2026-12-12,True,2025-12-01,
ID0278,Aimee Gonzalez,jodi37@vargas-snyder.com,employee,Sales,2023-09-05,2026-02-04,True,,
ID0279,Kimberly Flynn,adamortiz@weaver.com,employee,Sales,2023-07-23,,False,2024-05-21,
ID0280,April Sandoval,dalton83@vasquez-brown.com,employee,Sales,2025-12-12,,False,,
ID0281,Anna Morse,xhaynes@villegas-miller.com,employee,Finance,2019-12-03,,False,2020-03-18,
ID0282,Mandy Foster,grahamtamara@carter.biz,employee,Finance,2025-10-24,,False,,
ID0283,Nancy Stewart,jesus32@rodriguez.com,employee,Sales,2022-05-07,2023-05-13,True,2022-12-09,
ID0284,Joshua Oconnell,shannonford@davis.com,employee,Sales,2024-09-14,,False,,
ID0285,Melissa Williams,eddie35@palmer-byrd.com,employee,HR,2020-03-22,,False,,
ID0286,Carrie Crane,jhawkins@davis.com,employee,Finance,2019-01-30,2021-07-20,True,,
ID0287,Antonio Norman,davidcolon@parks-pace.com,employee,Legal,2020-02-18,,False,,
ID0288,Deanna Hess,osbornjames@ramos.com,employee,Engineering,2025-04-18,,False,,
ID0289,Tom Williams,zunderwood@johnson-vega.com,employee,IT,2018-04-14,2020-07-21,True,,
ID0290,Terry Hill,cstephenson@harvey.biz,employee,Engineering,2025-01-27,,False,2025-04-02,
ID0291,Karen Miller,mtaylor@wilkerson.net,employee,HR,2018-12-23,,False,,
ID0292,Virginia Casey,timothy75@shaw.com,employee,HR,2021-09-15,,False,,
ID0293,Alyssa Cochran,brian78@wang-key.com,employee,IT,2020-04-23,,False,2021-08-05,
ID0294,Matthew Adams,gallagherstacie@bradford.com,employee,Legal,2018-09-05,,False,,
ID0295,Kevin Drake,robin05@elliott.info,employee,Finance,2021-02-26,,False,2023-01-22,
