Rank,User Name,Display Name,Department,Identity Type,Platforms,Risk Score,Severity,Detected Risks,days_since_last_login,direct_groups,all_effective_groups,inherited_via,AWS_api_key_age
11,mark.cook,Mark Cook,IT,Employee,"AWS IAM, Okta",85.0,Critical,"Offboarding Gap, Dormant Admin, Hidden Admin",384,ServiceNow|Slack|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,164.0
12,brandi.gordon,Brandi Gordon,IT,Employee,Okta,85.0,Critical,"Offboarding Gap, Dormant Admin, Hidden Admin",103,ServiceNow|Slack|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,14.0
13,jeremy.scott,Jeremy Scott,Sales,Employee,"Active Directory, AWS IAM, Okta",80.0,Critical,"Dormant Admin, Cross-Platform Admin",93,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom|HubSpot,,5.0
14,james.brooks,James Brooks,Legal,Employee,"Active Directory, AWS IAM, Okta",80.0,Critical,"Dormant Admin, Cross-Platform Admin",144,Relativity|GG-DLP-Policy|GG-Domain-Admins|Slack|GG-Legal-Staff|arn:aws:iam::aws:policy/AdministratorAccess|SharePoint|DocuSign,Relativity|GG-DLP-Policy|GG-Domain-Admins|Slack|GG-Legal-Staff|arn:aws:iam::aws:policy/AdministratorAccess|SharePoint|DocuSign,,38.0
15,svc-state-dev,svc-state-dev,IT,Service Account,"Active Directory, AWS IAM",80.0,Critical,"Privilege Spike, Dormant Admin, Hidden Admin",162,GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|GG-Infra-Ops|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,110.0
16,douglas.ryan,Douglas Ryan,Legal,Employee,"Active Directory, AWS IAM, Okta",80.0,Critical,"Dormant Admin, Cross-Platform Admin",179,Relativity|GG-DLP-Policy|GG-Domain-Admins|Slack|GG-Legal-Staff|arn:aws:iam::aws:policy/AdministratorAccess|SharePoint|DocuSign,Relativity|GG-DLP-Policy|GG-Domain-Admins|Slack|GG-Legal-Staff|arn:aws:iam::aws:policy/AdministratorAccess|SharePoint|DocuSign,,147.0
17,marc.lynch,Marc Lynch,IT,Employee,"Active Directory, AWS IAM, Okta",70.0,Critical,"Token Abuse, Dormant Admin, Cross-Platform Admin",311,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,736.0
18,svc-hour-test,svc-hour-test,IT,Service Account,"Active Directory, AWS IAM",70.0,Critical,"Token Abuse, Dormant Admin, Cross-Platform Admin",126,GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|arn:aws:iam::aws:policy/AdministratorAccess|GG-Infra-Ops,GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|arn:aws:iam::aws:policy/AdministratorAccess|GG-Infra-Ops,,378.0
19,svc-article-prod,svc-article-prod,Engineering,Service Account,"Active Directory, AWS IAM",70.0,Critical,"Privilege Spike, Dormant Admin, Cross-Platform Admin",233,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,95.0
20,kimberly.villanueva,Kimberly Villanueva,External,Contractor,"Active Directory, AWS IAM, Okta",65.0,Critical,"Dormant Admin, Cross-Platform Admin",154,Slack|GG-Domain-Admins|Jira|GG-Contractors|GG-Guest-Access|arn:aws:iam::aws:policy/AdministratorAccess,Slack|GG-Domain-Admins|Jira|GG-Contractors|GG-Guest-Access|arn:aws:iam::aws:policy/AdministratorAccess,,146.0
21,bradley.anthony,Bradley Anthony,External,Contractor,"Active Directory, AWS IAM, Okta",65.0,Critical,"Dormant Admin, Cross-Platform Admin",327,Slack|GG-Domain-Admins|Jira|GG-Contractors|GG-Guest-Access|arn:aws:iam::aws:policy/AdministratorAccess,Slack|GG-Domain-Admins|Jira|GG-Contractors|GG-Guest-Access|arn:aws:iam::aws:policy/AdministratorAccess,,70.0
22,melody.lee,Melody Lee,Engineering,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Privilege Spike, Cross-Platform Admin",21,Slack|GG-Domain-Admins|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Git-Users|GG-Dev-Staff,Slack|GG-Domain-Admins|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Git-Users|GG-Dev-Staff,,113.0
23,monica.bailey,Monica Bailey,HR,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Dormant Admin, Cross-Platform Admin",186,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,,146.0
24,tracey.wagner,Tracey Wagner,Sales,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Dormant Admin, Cross-Platform Admin",211,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom|HubSpot,,53.0
25,joseph.camacho,Joseph Camacho,External,Contractor,"Active Directory, AWS IAM, Okta",65.0,Critical,"Dormant Admin, Cross-Platform Admin",127,Slack|GG-Domain-Admins|Jira|GG-Contractors|GG-Guest-Access|arn:aws:iam::aws:policy/AdministratorAccess,Slack|GG-Domain-Admins|Jira|GG-Contractors|GG-Guest-Access|arn:aws:iam::aws:policy/AdministratorAccess,,20.0
26,evelyn.galvan,Evelyn Galvan,Sales,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Dormant Admin, Cross-Platform Admin",193,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom|HubSpot,,11.0
27,brittany.murphy,Brittany Murphy,HR,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Privilege Spike, Cross-Platform Admin",9,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,,128.0
28,ann.phillips,Ann Phillips,HR,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Dormant Admin, Cross-Platform Admin",271,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,,167.0
29,anthony.jones,Anthony Jones,Sales,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Dormant Admin, Cross-Platform Admin",280,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom|HubSpot,,185.0
30,jacob.evans,Jacob Evans,Engineering,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Privilege Spike, Cross-Platform Admin",84,Slack|GG-Domain-Admins|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Git-Users|GG-Dev-Staff,Slack|GG-Domain-Admins|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Git-Users|GG-Dev-Staff,,85.0
31,thomas.velasquez,Thomas Velasquez,Finance,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Privilege Spike, Cross-Platform Admin",2,Workday|Slack|GG-Domain-Admins|GG-ReadOnly-FS|Concur|SAP S4HANA|arn:aws:iam::aws:policy/AdministratorAccess|GG-SAP-Users|GG-Finance-Staff,Workday|Slack|GG-Domain-Admins|GG-ReadOnly-FS|Concur|SAP S4HANA|arn:aws:iam::aws:policy/AdministratorAccess|GG-SAP-Users|GG-Finance-Staff,,153.0
32,stephen.gutierrez,Stephen Gutierrez,Sales,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Dormant Admin, Cross-Platform Admin",170,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom,Slack|GG-Domain-Admins|Salesforce|GG-CRM-Access|GG-Sales-Staff|arn:aws:iam::aws:policy/AdministratorAccess|Zoom|HubSpot,,152.0
33,andrew.reeves,Andrew Reeves,HR,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Dormant Admin, Cross-Platform Admin",159,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,,19.0
34,jessica.fowler,Jessica Fowler,Engineering,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Dormant Admin, Cross-Platform Admin",115,Slack|GG-Domain-Admins|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Git-Users|GG-Dev-Staff,Slack|GG-Domain-Admins|Jira|GG-VPN-Access|GitHub Enterprise|Confluence|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Git-Users|GG-Dev-Staff,,143.0
35,timothy.perez,Timothy Perez,HR,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Privilege Spike, Cross-Platform Admin",4,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,,75.0
36,natasha.wells,Natasha Wells,HR,Employee,"Active Directory, AWS IAM, Okta",65.0,Critical,"Dormant Admin, Cross-Platform Admin",147,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,GG-HRIS-Access|Workday|Slack|GG-Domain-Admins|BambooHR|GG-HR-Staff|arn:aws:iam::aws:policy/AdministratorAccess|ServiceNow,,149.0
37,jeremiah.baker,Jeremiah Baker,External,Contractor,AWS IAM,60.0,Critical,"Offboarding Gap, Token Abuse",167,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,789.0
38,amanda.preston,Amanda Preston,External,Contractor,AWS IAM,60.0,Critical,"Offboarding Gap, Token Abuse",275,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Jira|GG-Contractors|GG-Guest-Access,,620.0
39,jose.williams,Jose Williams,Sales,Employee,AWS IAM,60.0,Critical,"Offboarding Gap, Token Abuse",194,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,502.0
40,ashley.singleton,Ashley Singleton,Legal,Employee,"AWS IAM, Okta",60.0,Critical,"Offboarding Gap, Token Abuse",120,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,,578.0
41,charles.gonzalez,Charles Gonzalez,IT,Employee,"Active Directory, AWS IAM, Okta",60.0,Critical,"Dormant Admin, Hidden Admin",98,ServiceNow|Slack|GG-ServiceDesk|GG-IT-Staff|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,91.0
42,svc-forget-prod,svc-forget-prod,Engineering,Service Account,"Active Directory, AWS IAM",55.0,High,"Token Abuse, Privilege Spike, Cross-Platform Admin",49,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,GG-Domain-Admins|GG-VPN-Access|arn:aws:iam::aws:policy/AdministratorAccess|GG-Git-Users|GG-Dev-Staff,,509.0
43,roy.martin,Roy Martin,IT,Employee,"Active Directory, AWS IAM, Okta",55.0,High,"Privilege Spike, Dormant Admin, Cross-Platform Admin",368,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,139.0
44,rachel.shields,Rachel Shields,Sales,Employee,"Active Directory, AWS IAM, Okta",55.0,High,"Token Abuse, Privilege Spike",15,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,637.0
45,christopher.taylor,Christopher Taylor,Sales,Employee,"Active Directory, AWS IAM, Okta",55.0,High,"Token Abuse, Privilege Spike",9,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,762.0
46,april.sandoval,April Sandoval,Sales,Employee,"Active Directory, AWS IAM, Okta",55.0,High,"Token Abuse, Privilege Spike",97,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,795.0
47,jody.jacobs,Jody Jacobs,Sales,Employee,"Active Directory, AWS IAM, Okta",55.0,High,"Token Abuse, Privilege Spike",120,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,850.0
48,elizabeth.ward,Elizabeth Ward,Sales,Employee,"Active Directory, AWS IAM, Okta",55.0,High,"Token Abuse, Privilege Spike",74,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|HubSpot|GG-Sales-Staff|Zoom,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|Slack|Salesforce|GG-CRM-Access|GG-Sales-Staff|Zoom|HubSpot,,434.0
49,christian.leblanc,Christian Leblanc,Legal,Employee,"Active Directory, AWS IAM, Okta",55.0,High,"Token Abuse, Privilege Spike",80,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,Relativity|arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess|GG-DLP-Policy|Slack|GG-Legal-Staff|SharePoint|DocuSign,,513.0
50,tiffany.turner,Tiffany Turner,IT,Employee,"Active Directory, AWS IAM, Okta",55.0,High,"Privilege Spike, Dormant Admin, Cross-Platform Admin",115,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|Okta Admin Console|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,96.0
51,carla.collins,Carla Collins,IT,Employee,AWS IAM,50.0,High,"Offboarding Gap, Hidden Admin",42,ServiceNow|Slack|GG-ServiceDesk|GG-IT-Staff|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|GitHub Enterprise|arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow|arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,GG-Domain-Admins,139.0
52,keith.jacobs,Keith Jacobs,IT,Employee,"Active Directory, AWS IAM, Okta",50.0,High,"Dormant Admin, Cross-Platform Admin",142,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,80.0
53,travis.wise,Travis Wise,IT,Employee,"Active Directory, AWS IAM, Okta",50.0,High,"Dormant Admin, Cross-Platform Admin",267,Slack|GG-Domain-Admins|GG-ServiceDesk|GG-IT-Staff|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,Slack|GG-Domain-Admins|GG-IT-Staff|GG-ServiceDesk|GitHub Enterprise|arn:aws:iam::aws:policy/AdministratorAccess|AWS SSO|GG-Infra-Ops|CyberArk|ServiceNow,,118.0
